obs_time,valid_time,lead_hour_from_case_start,lon,lat,platform_id,platform_type,obs_wind_speed,obs_wind_dir,gdas_model_step_hour,gdas_wind_speed,gdas_wind_dir,gdas_u10,gdas_v10,era5lagged_model_step_hour,era5lagged_wind_speed,era5lagged_wind_dir,era5lagged_u10,era5lagged_v10,time_diff_minutes,distance_to_typhoon_center_km,azimuth_from_typhoon_center_deg,radius_bin,quadrant,gdas_speed_error,era5lagged_speed_error,gdas_direction_error,era5lagged_direction_error,gdas_abs_error,era5lagged_abs_error,gdas_sq_error,era5lagged_sq_error,coarse_radius_bin,forecast_period
2025-07-18 21:00:00,2025-07-18 21:00:00,45,117.6,15.83,TAKFBTD,5.0,9.6,270.0,45,10.58407215945414,272.23917523762134,10.575990539550782,-0.4135306323170734,165,11.449936033663151,299.2964962519263,9.985480026245115,-5.602787147521999,0.0,529.6104981869945,211.70918834271615,400-600 km,front_left,0.98407215945414,1.8499360336631518,2.239175237621339,29.296496251926328,0.98407215945414,1.8499360336631518,0.9683980150127343,3.422263328645354,400-600 km,18-48 h
2025-07-18 21:00:00,2025-07-18 21:00:00,45,118.47,15.02,YRZSQRB,5.0,6.4,280.0,45,12.100371009130503,257.8683229414463,11.830135791778565,2.543003284835814,165,17.625700945428594,245.4868170511749,16.0370230506897,7.312949164962766,0.0,572.7964984825045,198.9506080238929,400-600 km,rear_left,5.700371009130503,11.225700945428594,22.13167705855369,34.51318294882509,5.700371009130503,11.225700945428594,32.49422964173551,126.01636171619643,400-600 km,18-48 h
2025-07-19 00:00:00,2025-07-19 00:00:00,48,121.2,20.6,2DBR8,5.0,27.3,160.0,48,14.322008555274428,113.2023441618828,-13.163633346557612,5.642577972412111,168,14.288115667624645,104.30376704127129,-13.84517679214477,3.530060753822331,0.0,141.81837040228322,61.73018694308712,100-200 km,rear_right,-12.977991444725573,-13.011884332375356,46.79765583811721,55.69623295872873,12.977991444725573,13.011884332375356,168.42826193937017,169.30913387911525,0-400 km,48-72 h
2025-07-19 00:00:00,2025-07-19 00:00:00,48,115.3,22.1,EVH28KM,5.0,11.0,330.0,48,4.846539065291294,2.753432899302368,-0.2328179216384771,-4.840943784713736,168,6.854544162333068,35.038341168595935,-3.935361518859848,-5.612281656265252,0.0,540.7049128193188,296.41397551647674,400-600 km,front_left,-6.153460934708706,-4.145455837666932,32.75343289930237,65.03834116859593,6.153460934708706,4.145455837666932,37.86508147498614,17.184804102046847,400-600 km,48-72 h
2025-07-19 00:00:00,2025-07-19 00:00:00,48,115.3,22.18,EVH28KM,5.0,10.7,325.0,48,4.593378759768717,358.12289887001515,0.150459496498112,-4.590913892745967,168,6.49411157428749,34.00163027620249,-3.631614295959464,-5.3837591648101775,0.0,544.4853870310407,297.2653069236412,400-600 km,front_left,-6.1066212402312825,-4.2058884257125095,33.12289887001515,69.00163027620249,6.1066212402312825,4.2058884257125095,37.29082297164385,17.68949744954245,400-600 km,48-72 h
2025-07-19 00:00:00,2025-07-19 00:00:00,48,118.8,22.5,LED82EE,5.0,9.0,40.0,48,5.335019748305709,28.2988577046483,-2.529176306724552,-4.6974144935608,168,6.3879687655651685,55.83794329812889,-5.28574151992798,-3.587071442604069,0.0,304.5309154312721,336.1130335899342,200-400 km,front_right,-3.664980251694291,-2.6120312344348315,11.7011422953517,15.837943298128891,3.664980251694291,2.6120312344348315,13.43208024530915,6.82270716966315,0-400 km,48-72 h
2025-07-19 00:00:00,2025-07-19 00:00:00,48,118.85,22.58,LED82EE,5.0,9.1,35.0,48,5.190784310037179,26.7183892772984,-2.333806244850171,-4.636549381256119,168,5.820770496246724,51.815396367347546,-4.575259731292743,-3.5983840208053657,0.0,310.6353800885869,337.652497312617,200-400 km,front_right,-3.9092156899628208,-3.2792295037532755,8.2816107227016,16.815396367347546,3.9092156899628208,3.2792295037532755,15.281967310651492,10.753346138285954,0-400 km,48-72 h
2025-07-19 00:00:00,2025-07-19 00:00:00,48,118.2,15.3,TAKFBTD,5.0,10.0,280.0,48,11.874531170916496,256.8158121375245,11.561540908813472,2.708368945121769,168,17.72059965724412,235.63187176092805,14.627072811126704,10.00341907501222,0.0,556.3077763785387,200.32940602654884,400-600 km,rear_left,1.8745311709164962,7.720599657244119,23.184187862475483,44.36812823907195,1.8745311709164962,7.720599657244119,3.5138671107375705,59.607659067438,400-600 km,48-72 h
2025-07-19 00:00:00,2025-07-19 00:00:00,48,118.26,15.37,TAKFBTD,5.0,10.2,275.0,48,11.783669706130468,256.60953731182883,11.463324057006837,2.728932631492624,168,17.618745642379434,234.47573123495997,14.339359302520746,10.237332308959989,0.0,546.8159939864194,199.97075613360536,400-600 km,rear_left,1.5836697061304683,7.4187456423794345,18.39046268817117,40.52426876504006,1.5836697061304683,7.4187456423794345,2.508009738115364,55.037786906323845,400-600 km,48-72 h
2025-07-19 00:00:00,2025-07-19 00:00:00,48,122.6,24.4,V7UX2,5.0,11.3,130.0,48,9.978524075813615,123.33432542072612,-8.3368402957916,5.48343292236327,168,8.866678361516827,124.06240437281475,-7.345404882431008,4.966186895370475,0.0,557.6456470979324,28.201747397676627,400-600 km,front_right,-1.3214759241863856,-2.4333216384831733,6.665674579273883,5.937595627185232,1.3214759241863856,2.4333216384831733,1.746298618204262,5.921054196310435,400-600 km,48-72 h
