data_type,data_group,pressure_level_label,variable,lead_hour,case_count,valid_case_count,n_total,rmse_monthly_pooled,mae_monthly_weighted,bias_monthly_weighted,corr_monthly_weighted_mean,rmse_daily_mean,mae_daily_mean,bias_daily_mean,corr_daily_mean,pred_mean_monthly_weighted,truth_mean_monthly_weighted,diff_std_daily_mean
gdas,upper,500,t,6,31.0,31.0,175770.0,0.4711729093669165,0.364380864125304,-0.0394792863965516,0.8763036370576102,0.4669814077342316,0.36438086412530396,-0.039479286396551586,0.8763036370576099,270.1734762510912,270.21295553748774,0.45506495263250185
gdas,upper,500,t,12,31.0,31.0,175770.0,0.5112447502022889,0.3970616371183867,-0.07093917743374464,0.8799873299069809,0.506824058297367,0.3970616371183867,-0.07093917743374463,0.8799873299069806,270.2480593447217,270.3189985221554,0.4877991612973091
gdas,upper,500,t,24,31.0,31.0,175770.0,0.5417914643823223,0.4204462380731256,0.023940430798682216,0.853623583588899,0.5356103815128873,0.42044623807312553,0.023940430798682216,0.8536235835888991,270.1501630562689,270.12622262547023,0.5133062763147402
gdas,upper,500,t,48,31.0,31.0,175770.0,0.6208629341747147,0.478189116863896,0.05456360569923696,0.8089452810670981,0.6132775749040502,0.478189116863896,0.05456360569923697,0.8089452810670983,270.23576562762867,270.1812020219294,0.5841276521794272
gdas,upper,500,t,72,31.0,31.0,175770.0,0.7620860078439923,0.5609428308967329,-0.005183558831098534,0.7497443237884343,0.7409992915378767,0.5609428308967329,-0.005183558831098532,0.7497443237884343,270.2107317864871,270.2159153453182,0.7106522453652848
gdas,upper,600,t,1,31.0,31.0,175770.0,0.5439684665075295,0.4175305187413939,-0.07597664262665588,0.8472114333225056,0.538360551758235,0.41753051874139385,-0.07597664262665585,0.8472114333225055,277.8186361761354,277.8946128187621,0.5229849236674077
gdas,upper,600,t,3,31.0,31.0,175770.0,0.526002119670832,0.4043180454521312,-0.07481699332229483,0.8567045486973418,0.5205050783353748,0.4043180454521312,-0.07481699332229481,0.8567045486973421,277.8223406487251,277.89715764204743,0.5048949287161845
gdas,upper,600,t,6,31.0,31.0,175770.0,0.5236839727028454,0.3996326578269065,-0.0155332193864574,0.8591188820857356,0.5171460984239306,0.39963265782690643,-0.0155332193864574,0.8591188820857355,277.9230372880149,277.9385705074014,0.5077448660678059
gdas,upper,600,t,12,31.0,31.0,175770.0,0.5638156290164811,0.43496903089992206,-0.07996597198887394,0.8490105325138474,0.5592430443282426,0.43496903089992206,-0.07996597198887395,0.8490105325138471,278.0089397079052,278.0889056798941,0.5439894774776185
gdas,upper,600,t,24,31.0,31.0,175770.0,0.5601256964203432,0.43359643801925546,-0.09694131084111603,0.8397883917467299,0.5563732117277634,0.43359643801925546,-0.09694131084111603,0.8397883917467299,277.86437560788613,277.9613169187272,0.5350140218608848
gdas,upper,600,t,48,31.0,31.0,175770.0,0.6496166200068114,0.5053936089062477,-0.15186789437162868,0.7872985442993664,0.6431507057765341,0.5053936089062477,-0.15186789437162865,0.7872985442993661,277.85058665681686,278.0024545511885,0.6067032692766368
gdas,upper,600,t,72,31.0,31.0,175770.0,0.7504098882054833,0.5812759533103175,-0.20352784045192782,0.7335199175045811,0.7422072753904864,0.5812759533103173,-0.2035278404519278,0.733519917504581,277.8250594558017,278.02858729625365,0.6866086808986017
